artwork_id,artist_name,title,exhibition_history,is_on_view,date,category_titles,artwork_type_title
78503,"Tsugouharu Foujita
Japanese, 1886–1968",Portrait of Emily Crane Chadbourne,"New York, Reinhardt Galleries, Exhibition of Paintings and Drawings by Foujita, November 8–28, 1930, n.p., cat. 19, as Portrait.

Tokyo, The Asahi Shimbun, Retrospective Léonard Foujita: A Retrospective Commemorating the 50th Anniversary of his Death, July 31–Oct. 8, 2018, cat. 31; traveled to Kyoto, The National Museum of Modern Art, Oct. 19–Dec. 16, 2018.",False,1922,Modern Art,Painting
53045,"André Lhote
French, 1885-1962",Port of Bordeaux,"The Art Institute of Chicago, Henri Cartier-Bresson and the Art and Photography of Paris, September 20, 2008–January 4, 2009.",False,1914,Modern Art,Painting
217464,"Gladys Nilsson
American, born 1940",The Trogens,,False,1967,Contemporary Art,Painting
93345,"Robert Smithson
American, 1938–1973",Chalk-Mirror Displacement,"London, Institute of Contemporary Art, “When Attitudes Become Form,” September 26–October 27, 1969 (destroyed). A photograph of the installation was shown at the earlier venue, Kunstalle Bern, March 3–April 27, 1969.

New York, John Weber Gallery, “Robert Smithson: Sculpture 1968–69,” October 10–31, 1987, n.pag. (ill.)

Oslo, Norway, National Museum of Contemporary Art, “Robert Smithson: Retrospective  • Works 1955-1973,” February 27–May 2, 1999; traveled to Modern Museum Stockholm, June 19–September 12, 1999, Arken Museum of Modern Art Ishøj, October 2, 1999–January 16, 2000, cat. 133 (no ill.), p. 289 (as “exhibition copy”).

Los Angeles, Museum of Contemporary Art, “Robert Smithson,”September 12–December 13, 2004; traveled to Dallas Museum of Art, January 14–April 3, 2005, New York, Whitney Museum of American Art, June 23–October 16, 2005, pp. 28, 166 (color ill.), 268 (as “Chalk-Mirror Displacement, 1969/2004, Exhibition copy”).",False,1969,Contemporary Art,Sculpture
266051,"Ingrid Pollard
British, born 1953",The Boy Who Watches Ships Go By,,False,2002,Photography and Media,Photograph
266046,"Ingrid Pollard
British, born 1953",The Boy Who Watches Ships Go By,,False,2002,Photography and Media,Photograph
266044,"Ingrid Pollard
British, born 1953",The Boy Who Watches Ships Go By,,False,2002,Photography and Media,Photograph
74453,"Samuel Meily, Sr. (American, c. 1806 after 1852)
United States, Ohio, Richland County, Mansfield",Coverlet,"Art Institute of Chicago, American Coverlets, July 14–Oct. 14, 1973.",False,1842,Textiles,Textile
14485,"Howard Dearstyne
American, 1903–1979",Untitled [Broken Glass],,False,1940/62,Collected by Hugh Edwards,Photograph
14517,"Howard Dearstyne
American, 1903–1979",Untitled (Stalks in Icy Water),,False,c. 1957,Collected by Hugh Edwards,Photograph
14501,"Howard Dearstyne
American, 1903–1979","Rock Bed of Yellow Creek Between Tapoco and Santeelah Lake, N.C.",,False,1940/62,Collected by Hugh Edwards,Photograph
147301,"Yasuhiro Ishimoto
Japanese, born United States, 1921–2012",Interior of the Shokintei Tearoom,,False,1954,Photography and Media,Photograph
147271,"Yasuhiro Ishimoto
Japanese, born United States, 1921–2012",Middle Shoin Seen From the First Room of the Old Shoin,,False,"1954, printed later",Photography and Media,Photograph
147250,"Yasuhiro Ishimoto
Japanese, born United States, 1921–2012",Rock Path in Front of the Old Shoin,,False,1954,Photography and Media,Photograph
263115,"Katsuhiro Yamaguchi (Japanese, 1928-2018)
and Kiyoji Otsuji (Japanese, 1923-2001)",APN no tameno kousei (Composition for APN),,False,1953,Photography and Media,Photograph
270271,"Nicholas Nixon
American, born 1947","The Brown Sisters, Ipswich, Massachusetts",,False,1982,Photography and Media,Photograph
