artwork_id,artist_name,title,exhibition_history,is_on_view,date,category_titles,artwork_type_title
206762,"Mischer'Traxler (Austrian, founded 2009)
Katharina Mischer (Austrian, born 1982)
Thomas Traxler (Austrian, born 1981)",The Idea of a Tree Bench,,False,2009,Architecture and Design,Design
261658,"Paul Ludick
American, born 1957",The World Theatre: Apartheid (Chair),,False,1985,Architecture and Design,Design
269966,"Maruja Mallo
Spanish, 1902-1995",El Mago/Pim Pam Pum (The Magician/Pim Pam Pum),"Gijón, Spain, Feria de Muestras de Gijón, Maruja Mallo, Aug. 1927, no cat.

Granada, Spain, Casa de los Tiros, Exposición Regional de Arte Moderno, Nov.–Dec. 1929, cat. 94.

Santiago de Compostela, Spain, Centro de Arte Contemporánea de Galicia, Maruja Mallo, 1993, no cat. no.; Buenos Aires, Museo Nacional de Bellas Artes, 1994.

Madrid, Fundación Cultural Mapfre Vida, Fuera de orden. Mujeres de la vanguardia española, Feb.–Apr. 1999, no cat. no.; Barcelona, Spain, Museo de Arte Moderno, Apr.–May 1999.

Madrid, Galería Guillermo de Osma, La pintura del 27, Feb.–Apr. 2005, cat. 39; Malaga, Spain, Museo Municipal, Trazo y Verbo. La pintura del 27, May–June 2005; Santiago de Compostela, Spain, Fundación Caixa Galicia, La pintura del 27, June–Sept. 2005.

Granada, Spain, Museo Casa de los Tiros, La generación de plata. Primeros pasos de la vanguardia en Granada, Nov.–Dec. 2007, cat. 134.

Vigo, Spain, Casa das Artes, Maruja Mallo, Sept. 10, 2009–Jan. 10, 2010, cat. 2; Madrid, Real Academia de Bellas Artes de San Fernando, Jan.–Apr. 2010.

New York, Ortuzar Projects, Maruja Mallo. Paintings 1926–1952, Sept. 26–Dec. 1, 2018, no cat.

Malaga, Spain, Museo Picasso Málaga, Somos plenamente libres. Las mujeres artistas y el surrealismo, Oct. 9, 2017–Jan. 27, 2018, cat. 30.",True,1926,Modern Art,Painting
268982,"Lars Kinsarvik
Norwegian, 1846-1925",Chair,,True,1908,Applied Arts of Europe,Furniture
264855,"Hendrick Goltzius 
Dutch, 1558–1617","Allegory of Rome, title plate from The Roman Heroes",,True,1586,Prints and Drawings,Print
270913,"Tanya Aguiñiga (American, b. 1978)",Metaphysical Body II,"Chicago, Volume Gallery, Swallowing Dirt, Apr. 28-June 17, 2023, no cat.",False,2023,Textiles,Textile
267504,"Edgardo Miguel Giménez 
Argentinian, born 1942",Dalila Puzzovio—La matabrujas de más calidad,,False,1965,Architecture and Design,Graphic Design
93540,"Jacques Callot
French, 1592-1635","Christ Washing the Apostles' Feet, from The Large Passion",,False,1618–24,Prints and Drawings,Print
77782,"Jacques Callot
French, 1592-1635","Hunting Birds, from Various Scenes Designed in Florence",,False,1618–20,Prints and Drawings,Print
110090,"Jacques Callot
French, 1592-1635","Pantalone, from Three Italian Comedians",,False,1618–20,Prints and Drawings,Print
